district,village,street,section,crossroad,death_toll,injured_toll,weather_desc,light_desc,road_type_desc,accident_location_desc,road_surface_condition_desc,road_surface_defect_desc,obstacle_desc,traffic_sign_desc,div_facility_desc,expressway_desc,expressway_slow_fast_lane_desc,road_side_line_desc,accident_type_and_form_desc,surveillance_tape
路竹區,村,中山路,,,2,1,雨,夜間(或隧道、地下道、涵洞) 有照明,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,側撞,Y
三民區,村,九如三路,,中庸街,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,車道線(無標記),快慢車道分隔線,無,側撞,Y
楠梓區,村,德中路,,大學二十九路,1,0,晴,日間自然光線,四岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,無,同向擦撞,Y
阿蓮區,村,中正路,,中正路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
林園區,村,石化三路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),快慢車道分隔線,無,追撞,Y
前鎮區,村,中山四路,,凱旋四路,1,0,晴,日間自然光線,多岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
岡山區,村,大仁北路,,大仁北路,1,1,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
岡山區,村,成功路,,成功路,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,禁止變換車道線(無標記),未繪設快慢車道分隔線,有,側撞,Y
楠梓區,,德民路,,德民路,1,1,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),寬式快慢車道分隔島(50公分以上),無,穿越道路中,Y
左營區,村,軍校路,,,1,1,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),快慢車道分隔線,無,同向擦撞,Y
鳥松區,村,文前路,,,1,0,晴,日間自然光線,其他,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,無,路上翻車、摔倒,Y
大寮區,村,鳳林三路,,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,同向通行中,Y
美濃區,村,復興街,1,,1,0,晴,日間自然光線,其他,其他,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路上翻車、摔倒,Y
大寮區,村,興隆路,,東隆街,1,0,晴,夜間(或隧道、地下道、涵洞) 無照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
岡山區,村,介壽西路,,頂潭路,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
大寮區,村,鳳林一路,,無名路,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
仁武區,村,高楠公路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),寬式快慢車道分隔島(50公分以上),有,路上翻車、摔倒,Y
大社區,村,光華路,,保舍甲路,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,有,側撞,Y
大樹區,村,興田路,,,1,0,晴,日間自然光線,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,同向通行中,Y
美濃區,村,清水街,,八德街,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
岡山區,村,鵬程路,,鵬程西街,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),未繪設車道線,未繪設快慢車道分隔線,有,側撞,Y
楠梓區,村,左楠路,,,1,0,晴,日間自然光線,直路,穿越道附近,乾燥,無缺陷,無障礙物,閃光號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,無,穿越道路中,Y
大社區,村,中山路,,,1,2,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,有,側撞,Y
仁武區,村,水管路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,無,路上翻車、摔倒,N
大社區,村,和平路,1,和平路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,側撞,Y
苓雅區,村,中正一路,,高速公路西側便道,1,0,晴,日間自然光線,多岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,車道線(無標記),快慢車道分隔線,無,側撞,Y
三民區,村,鼎力路,,天祥一路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,車道線(無標記),快慢車道分隔線,無,側撞,Y
三民區,村,建國一路,,民族一路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
小港區,村,北林路,,,1,0,陰,日間自然光線,直路,慢車道,濕潤,無缺陷,無障礙物,無號誌,無號誌,無標記,禁止變換車道線(附標記),無,其他,Y
大社區,村,中山路,,,1,7,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,無號誌,無標記,車道線(無標記),有,追撞,Y
甲仙區,村,台29省道,,,1,1,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無號誌,附標記,未繪設車道線,有,追撞,N
美濃區,村,光復街,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無號誌,無,未繪設車道線,有,路上翻車、摔倒,N
鳳山區,村,文教路,,文昌二街,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無號誌,無,未繪設車道線,無,側撞,Y
阿蓮區,村,中山路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無號誌,附標記,車道線(無標記),有,對撞,Y
永安區,村,永達路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,其他,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無號誌,無標記,未繪設車道線,有,撞護欄(樁),N
大寮區,村,大寮路,,無名路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無號誌,無標記,車道線(無標記),有,側撞,N
三民區,村,大裕路,,大興街,1,0,晴,日間自然光線,四岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,正常,無標記,未繪設車道線,無,側撞,Y
大寮區,村,八德路,,,1,1,晴,晨或暮光,直路,快車道,乾燥,無缺陷,其他障礙物,無號誌,無號誌,無標記,未繪設車道線,無,追撞,Y
鳥松區,村,學堂路,,北平路,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,正常,無標記,車道線(無標記),有,撞號誌、標誌桿,N
大樹區,村,台29省道,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,行車管制號誌,正常,寬式(50公分以上)?,禁止變換車道線(無標記),有,路上翻車、摔倒,Y
六龜區,荖濃里,台20省道,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,彎曲路及附近,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無號誌,附標記,車道線(附標記),有,撞護欄(樁),N
左營區,村,明誠二路,,富國路,1,1,晴,日間自然光線,四岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,正常,寬式(50公分以上),車道線(無標記),無,路口交岔撞,Y
鳳山區,村,五甲一路,,凱旋路,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,行車管制號誌,正常,無標記,車道線(無標記),無,撞交通島,Y
鼓山區,,馬卡道路,,青海路,1,0,晴,日間自然光線,,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無號誌,,車道線(無標記),無,路口交岔撞,Y
鳳山區,村,中山東路,,,1,2,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無號誌,窄式無柵欄,禁止變換車道線(附標記),有,追撞,Y
路竹區,村,大公路,,,1,0,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,無號誌,無標記,車道線(無標記),有,同向擦撞,Y
前鎮區,村,擴建路,,建基街,1,0,晴,日間自然光線,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,正常,無,未繪設車道線,無,側撞,Y
燕巢區,村,深興路,,,1,1,雨,夜間(或隧道、地下道、涵洞) 有照明,彎曲路及附近,一般車道(未劃分快慢車道),濕潤,無缺陷,無障礙物,無號誌,無號誌,窄式無柵欄,禁止變換車道線(無標記),有,對撞,Y
鼓山區,村,中華一路,,美術北三路,1,0,雨,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔口附近,濕潤,無缺陷,無障礙物,行車管制號誌,正常,寬式(50公分以上),禁止變換車道線(無標記),無,側撞,Y
內門區,村,182縣道,,,1,0,晴,日間自然光線,彎曲路及附近,其他,乾燥,無缺陷,無障礙物,無號誌,無號誌,附標記,未繪設車道線,無,其他,N
路竹區,村,環球路,,,1,0,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,無號誌,無標記,車道線(附標記),有,同向擦撞,Y
左營區,,文育路,,文瑞路,1,0,晴,日間自然光線,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,正常,無標記,禁止變換車道線(無標記),無,側撞,Y
楠梓區,村,加昌路,,楠陽高架橋,1,0,雨,日間自然光線,三岔路,交岔口附近,濕潤,無缺陷,無障礙物,無號誌,無號誌,寬式(50公分以上),車道線(無標記),有,路上翻車、摔倒,Y
林園區,村,鳳林路,1,東林東路,1,0,陰,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,濕潤,無缺陷,無障礙物,行車管制號誌,正常,無,未繪設車道線,無,路口交岔撞,Y
鳳山區,,中山東路,,勝利路,1,1,晴,日間自然光線,多岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,正常,無,未繪設車道線,無,側撞,Y
仁武區,村,高楠公路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無號誌,寬式(50公分以上),車道線(無標記),無,撞路樹、電桿,Y
路竹區,村,高11鄉道,,,1,0,陰,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無號誌,無標記,未繪設車道線,有,撞路樹、電桿,Y
橋頭區,,成功南路,,,1,1,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無號誌,寬式(50公分以上),禁止變換車道線(無標記),有,追撞,N
大寮區,村,鳳林二路,,新厝路,1,2,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,正常,無,未繪設車道線,無,側撞,Y
小港區,村,港美街,,小港路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無號誌,無,未繪設車道線,無,停立路邊(外),Y
梓官區,村,赤崁東路,,,1,1,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無號誌,無,未繪設車道線,無,同向擦撞,N
鳳山區,村,五甲一路,,臨海路,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,正常,無,未繪設車道線,無,側撞,Y
小港區,村,沿海二路,,,1,2,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(附標記),窄式快慢車道分隔島(無柵欄),無,追撞,Y
苓雅區,,四維一路,,河北路,1,2,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
苓雅區,,建軍路,,尚勇路,1,0,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,車道線(無標記),快慢車道分隔線,無,側撞,N
仁武區,村,永昌一街,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,其他,Y
六龜區,新興里,台27甲省道,,,1,2,雨,日間自然光線,直路,慢車道,濕潤,無缺陷,無障礙物,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,同向通行中,N
美濃區,,吉山,,吉山,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,路口交岔撞,N
旗山區,,延平二路,,東圳巷,1,1,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,穿越道路中,Y
苓雅區,,四維二路,,和平一路,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,窄式無柵欄,未繪設車道線,快慢車道分隔線,無,穿越道路中,Y
苓雅區,,中正二路,,和平一路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
楠梓區,,高楠公路,,高楠公路,1,0,晴,日間自然光線,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,撞交通島,Y
岡山區,,嘉興路,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,穿越道路中,Y
橋頭區,村,典昌路,,河北路,1,0,雨,日間自然光線,多岔路,交岔路口內,濕潤,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
林園區,,西溪路,,中港路,1,0,晴,日間自然光線,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路上翻車、摔倒,Y
杉林區,,清水路,,,1,0,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,快慢車道分隔線,有,同向擦撞,Y
大樹區,,九大路,,九大路,1,1,陰,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔路口內,濕潤,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,穿越道路中,Y
鳳山區,村,經武路,,鳳仁路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
鳳山區,,博愛路,,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
橋頭區,,成功南路,,經武路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌(附設行人專用號誌),無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
鳳山區,村,南華一路,,保華二路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
大寮區,村,潮寮路,,無名路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
大寮區,,光華路,,188縣道,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,無,其他,N
燕巢區,村,工程路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,有,撞路樹、電桿,Y
鼓山區,村,中華一路,,中華一路,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
三民區,村,合江街,,同盟一路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
大寮區,村,光明路,3,光明路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,路口交岔撞,N
六龜區,興龍里,台27省道,,,1,0,晴,日間自然光線,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,車道線(無標記),未繪設快慢車道分隔線,有,對向擦撞,Y
仁武區,村,水管路,,大德街,1,1,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),窄式快慢車道分隔島(附柵欄),無,側撞,Y
橋頭區,村,中崎路,,,1,1,晴,日間自然光線,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,對撞,Y
左營區,村,菜公路,,翠明路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
鳳山區,村,五甲一路,,,1,1,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),寬式快慢車道分隔島(50公分以上),無,路口交岔撞,Y
美濃區,村,中華路,,,1,1,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,對撞,Y
岡山區,村,介壽西路,,,1,1,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,有,側撞,Y
林園區,村,東林西路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,穿越道路中,N
大寮區,村,鳳林三路,,進學路,1,0,雨,日間自然光線,四岔路,交岔路口內,濕潤,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
前鎮區,村,高速公路匝道,,,1,0,晴,日間自然光線,彎曲路及附近,機車專用道,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,追撞,N
左營區,村,文自路,,大中二路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌(附設行人專用號誌),無標記,車道線(無標記),快慢車道分隔線,無,路口交岔撞,Y
燕巢區,,鳳東路,,義大路,1,0,晴,日間自然光線,,交岔口附近,乾燥,無缺陷,無障礙物,無號誌,,禁止變換車道線(無標記),未繪設快慢車道分隔線,有,其他,Y
湖內區,村,和平路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),快慢車道分隔線,有,撞護欄(樁),Y
小港區,村,沿海一路,,中鋼路,1,1,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
燕巢區,村,深興路,,,1,0,陰,日間自然光線,坡路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,車道線(附標記),未繪設快慢車道分隔線,有,撞交通島,Y
永安區,村,新華路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,撞交通島,Y
鳳山區,村,過埤路,,高鳳一路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
岡山區,村,潭底路,,嘉峰路,1,0,晴,晨或暮光,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,無,車道線(附標記),未繪設快慢車道分隔線,有,路上翻車、摔倒,Y
大寮區,村,鳳屏一路,,鳳屏一路,1,2,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,對撞,Y
左營區,村,自由二路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),快慢車道分隔線,無,穿越道路中,Y
岡山區,村,聖森路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,撞護欄(樁),Y
旗山區,村,旗甲路,2,旗甲路,1,0,晴,日間自然光線,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,無號誌,附標記,禁止變換車道線(附標記),快慢車道分隔線,有,撞路樹、電桿,Y
前鎮區,村,中山四路,,鎮海路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,撞號誌、標誌桿,Y
三民區,,大昌二路,,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,,車道線(無標記),快慢車道分隔線,無,同向通行中,Y
大寮區,村,光明路,3,翁園路,2,2,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
茄萣區,村,正順東路,,,1,0,晴,日間自然光線,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),窄式快慢車道分隔島(無柵欄),有,路上翻車、摔倒,Y
彌陀區,村,鹽埕大路,,和平路,1,1,晴,日間自然光線,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,有,側撞,Y
仁武區,,水管路,,仁和街,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,,禁止變換車道線(附標記),寬式快慢車道分隔島(50公分以上),有,側撞,Y
左營區,村,華夏路,,新莊一路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
三民區,村,建國二路,,無名路,1,1,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,車道線(無標記),快慢車道分隔線,無,追撞,Y
鳳山區,村,保南二路,,保雅路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
